type,original-index,augmentation-index,gaussian_noise,blur,rotation_angle,zoom,flip_image
overripen,003,26,26,0,-16.70087102129996,0,both
overripen,003,27,49,1,17.05039055167593,15,both
overripen,003,28,35,0,-2.095026778664849,19,both
overripen,003,29,27,0,-12.631685270165327,19,vertical
overripen,003,30,11,1,-23.659520338160846,16,horizontal
overripen,003,31,22,1,-0.5814795832321096,18,horizontal
overripen,006,0,11,0,18.999060342784475,6,both
overripen,006,1,45,1,19.66700875555272,5,both
overripen,006,2,41,1,-20.112281645081133,8,vertical
overripen,006,3,47,1,1.262377580323161,6,both
overripen,006,4,22,1,18.012186063600694,10,both
overripen,006,5,25,0,16.14719516986146,5,both
overripen,006,6,8,1,-6.35647348389837,17,horizontal
overripen,006,7,8,1,-19.866939527216882,19,horizontal
overripen,006,8,44,1,19.1514962002786,4,both
overripen,006,9,13,1,15.729063134264855,20,horizontal
overripen,006,10,12,1,14.039659308525763,4,horizontal
overripen,006,11,30,1,-16.938222250733943,15,vertical
overripen,006,12,32,0,20.484929776309528,19,both
overripen,006,13,18,1,4.881625348180414,19,horizontal
overripen,006,14,32,0,10.784548007417719,13,both
overripen,006,15,39,0,-25.10315709471766,3,both
overripen,006,16,19,0,-29.816931745902266,2,both
overripen,006,17,45,0,-2.208547921571938,3,horizontal
overripen,006,18,22,1,-4.1905911683398,13,horizontal
overripen,006,19,29,0,-25.560305559902403,4,both
overripen,006,20,49,0,5.406115658248993,8,both
overripen,006,21,24,0,12.130184489487306,2,both
overripen,006,22,19,1,5.722281311962838,4,both
overripen,006,23,4,1,-9.856182390962907,16,horizontal
overripen,006,24,46,1,12.023692961790559,11,both
overripen,006,25,25,0,-13.125957538394502,17,both
overripen,006,26,3,1,-11.239286345170434,9,horizontal
overripen,006,27,18,1,-15.249920801297582,11,vertical
overripen,006,28,33,0,-22.69635978438056,3,both
overripen,006,29,9,0,16.893231591150887,9,both
overripen,006,30,36,1,26.344801440481397,19,both
overripen,006,31,9,0,20.21780246851197,13,vertical
overripen,020,0,9,0,20.295612614081676,17,horizontal
overripen,020,1,21,0,0.4528357952048694,3,horizontal
overripen,020,2,22,1,7.731337043791754,7,vertical
overripen,020,3,50,1,-10.966859130194717,2,vertical
overripen,020,4,10,1,11.662504127887672,10,horizontal
overripen,020,5,7,0,24.655412250874853,6,horizontal
overripen,020,6,15,1,15.912413308122055,5,horizontal
overripen,020,7,30,0,-26.29209395926948,0,horizontal
overripen,020,8,3,0,-20.837720353575214,10,both
overripen,020,9,39,1,-27.094439330756003,20,horizontal
overripen,020,10,41,1,2.360616574027304,8,vertical
overripen,020,11,29,1,5.141486319708655,9,both
overripen,020,12,14,1,3.588676805395707,12,both
overripen,020,13,40,0,22.395254044939115,5,both
overripen,020,14,30,0,-2.9363163572907354,8,vertical
overripen,020,15,34,1,10.618409472853138,17,horizontal
overripen,020,16,43,1,-9.661127448994947,20,vertical
overripen,020,17,44,1,-9.149533705046547,20,vertical
overripen,020,18,40,0,29.083657237713197,1,both
overripen,020,19,47,0,8.26100221998707,14,vertical
overripen,020,20,19,1,19.45555667652343,19,vertical
overripen,020,21,11,1,-26.716978869290873,17,both
overripen,020,22,6,0,-14.60759774206032,12,horizontal
overripen,020,23,44,1,-10.949701026530064,0,both
overripen,020,24,8,0,-16.76225906306777,17,both
overripen,020,25,31,1,-7.470874966335913,18,both
overripen,020,26,27,0,-14.44526690272429,4,both
overripen,020,27,17,0,-24.938800847069373,4,both
overripen,020,28,18,0,-20.78839262233669,18,vertical
overripen,020,29,40,1,20.372115392068842,3,both
overripen,020,30,22,1,-12.277322785409183,6,vertical
overripen,020,31,3,1,-15.220932673137565,0,vertical
yellowish_green,006,0,44,0,7.6063916709950234,6,both
yellowish_green,006,1,28,0,13.897249356098229,12,horizontal
yellowish_green,006,2,5,1,26.837411750747236,2,horizontal
yellowish_green,006,3,12,1,-24.405986483351604,14,vertical
yellowish_green,006,4,4,1,-17.126585231485098,20,vertical
yellowish_green,006,5,20,0,-20.6021903350138,8,horizontal
yellowish_green,006,6,19,0,16.70800560838014,5,vertical
yellowish_green,006,7,9,0,-14.993461832312354,7,vertical
yellowish_green,006,8,8,0,9.605781042701096,7,horizontal
yellowish_green,006,9,26,1,-15.516739009975778,8,vertical
yellowish_green,006,10,22,0,-9.561956951911693,8,both
yellowish_green,006,11,43,1,19.75061708123426,5,vertical
yellowish_green,006,12,36,1,-28.872793999910865,20,vertical
yellowish_green,006,13,37,0,24.90062848053946,17,horizontal
yellowish_green,006,14,26,1,-17.77385109134645,6,vertical
yellowish_green,006,15,20,1,13.687471841143697,8,both
yellowish_green,006,16,6,1,-8.501512383797433,6,horizontal
yellowish_green,006,17,1,0,-6.007217651917621,2,vertical
yellowish_green,006,18,41,1,-27.98925661689603,9,horizontal
yellowish_green,006,19,29,1,26.771107205302222,20,vertical
yellowish_green,006,20,5,0,28.494450672801307,3,both
yellowish_green,006,21,46,1,6.751367878018158,0,vertical
yellowish_green,012,0,1,1,6.547209720452216,10,both
yellowish_green,012,1,35,0,0.08499307761887565,10,horizontal
yellowish_green,012,2,35,0,-16.95883293186131,3,horizontal
yellowish_green,012,3,27,0,17.85472053900559,5,both
yellowish_green,012,4,7,1,19.89478933942916,19,both
yellowish_green,012,5,9,0,-29.57386396363957,16,horizontal
yellowish_green,012,6,49,1,-11.852641416192707,1,horizontal
yellowish_green,012,7,27,1,14.977008381499594,3,vertical
yellowish_green,012,8,8,1,-9.188591242066128,14,both
yellowish_green,012,9,46,1,-16.39509818875443,0,vertical
yellowish_green,012,10,44,0,-14.191758387134009,19,vertical
yellowish_green,012,11,15,0,-12.809092786720054,10,vertical
yellowish_green,012,12,5,1,29.369617868229987,7,vertical
yellowish_green,012,13,43,1,-7.116079857397459,11,both
yellowish_green,012,14,26,0,23.777527536624646,0,both
yellowish_green,012,15,46,0,18.16040726598048,0,horizontal
yellowish_green,012,16,35,0,-4.678842983321985,1,horizontal
yellowish_green,012,17,41,1,18.879377013675857,4,horizontal
yellowish_green,012,18,8,1,17.516228023175323,20,vertical
yellowish_green,012,19,11,0,22.772539570055855,20,vertical
yellowish_green,012,20,26,1,-11.906349056315172,19,both
yellowish_green,012,21,15,0,-22.766750446949338,3,horizontal
yellowish_green,014,0,25,1,-25.114076874813467,7,horizontal
yellowish_green,014,1,32,0,22.37214744740973,7,both
yellowish_green,014,2,32,0,-11.945394505422765,9,both
yellowish_green,014,3,48,0,13.037183955079037,7,both
yellowish_green,014,4,43,1,29.979669353652646,13,both
yellowish_green,014,5,26,1,23.2975584268123,16,horizontal
yellowish_green,014,6,2,1,14.232666150831037,4,vertical
yellowish_green,014,7,27,0,2.497484849419159,11,vertical
yellowish_green,014,8,9,0,1.618255541326775,11,vertical
yellowish_green,014,9,44,1,-25.839608593076328,9,both
yellowish_green,014,10,8,0,19.32904338873867,17,both
yellowish_green,014,11,25,0,-7.6653711258325,7,vertical
yellowish_green,014,12,50,0,13.71421238093798,18,both
yellowish_green,014,13,10,1,8.3591265620868,4,vertical
yellowish_green,014,14,28,0,19.27538455160198,2,vertical
yellowish_green,014,15,25,0,25.750446512256104,14,horizontal
yellowish_green,014,16,30,1,-13.560753672264436,15,horizontal
yellowish_green,014,17,45,1,18.268655996167986,20,horizontal
yellowish_green,014,18,41,1,7.425961758400163,4,both
yellowish_green,014,19,3,0,20.912175878192585,8,vertical
yellowish_green,014,20,2,0,2.6987859454256125,13,vertical
yellowish_green,014,21,12,0,25.043696431759464,7,both
yellowish_green,022,0,14,0,1.7113287204216334,11,both
yellowish_green,022,1,30,0,10.714148090887662,18,horizontal
yellowish_green,022,2,11,0,17.247113657532218,4,both
yellowish_green,022,3,23,0,18.783520999408218,0,vertical
yellowish_green,022,4,2,0,3.8871289225845587,0,horizontal
yellowish_green,022,5,39,1,-15.132173823878883,15,horizontal
yellowish_green,022,6,9,1,-17.24934163320895,1,horizontal
yellowish_green,022,7,2,0,23.825605535207778,3,horizontal
yellowish_green,022,8,46,0,6.57742852847386,1,horizontal
yellowish_green,022,9,30,1,-21.490672560639826,7,both
yellowish_green,022,10,34,0,-17.406951735268997,20,horizontal
yellowish_green,022,11,7,0,-5.204515244101138,13,horizontal
yellowish_green,022,12,5,1,-24.81519014954329,17,vertical
yellowish_green,022,13,20,1,9.321531289084547,10,vertical
yellowish_green,022,14,9,0,20.430133879324416,14,vertical
yellowish_green,022,15,12,1,-8.301957824283164,17,vertical
yellowish_green,022,16,8,1,8.140044054636355,18,horizontal
yellowish_green,022,17,10,1,24.469649534375407,20,vertical
yellowish_green,022,18,44,1,-15.883106504724676,1,horizontal
yellowish_green,022,19,50,1,-7.306708056890226,20,both
yellowish_green,022,20,29,0,-14.138062169452187,3,both
yellowish_green,022,21,22,1,-12.728412190681563,20,vertical
yellowish_green,027,0,34,1,-2.916969339280037,13,vertical
yellowish_green,027,1,46,1,16.040457300008455,4,horizontal
yellowish_green,027,2,38,1,25.56725982245967,12,both
yellowish_green,027,3,50,0,12.753410976432285,5,vertical
yellowish_green,027,4,26,0,0.8479960719160218,10,vertical
yellowish_green,027,5,29,1,10.292252132008514,0,horizontal
yellowish_green,027,6,36,0,16.760430325923735,20,both
yellowish_green,027,7,40,1,-15.88879544713449,2,both
yellowish_green,027,8,10,1,13.549124081084344,11,horizontal
yellowish_green,027,9,34,1,-3.9022579545043143,17,horizontal
yellowish_green,027,10,50,1,23.98483240030921,7,horizontal
yellowish_green,027,11,22,0,-8.319192020106144,4,both
yellowish_green,027,12,33,0,8.065503207480873,5,horizontal
yellowish_green,027,13,50,0,15.203220478617446,6,both
yellowish_green,027,14,8,1,-28.10372737919546,8,horizontal
yellowish_green,027,15,41,0,2.026105165201052,12,both
yellowish_green,027,16,20,0,27.706271665451013,17,both
yellowish_green,027,17,24,1,-18.114794904971316,4,vertical
yellowish_green,027,18,4,1,17.84406742181629,4,both
yellowish_green,027,19,2,0,-28.737428266321306,15,vertical
yellowish_green,027,20,17,1,3.4496982849079743,20,both
yellowish_green,027,21,28,1,-25.438580883301782,6,vertical
yellowish_green,042,0,39,1,25.416793815353508,6,both
yellowish_green,042,1,29,0,-11.679514903597958,7,horizontal
yellowish_green,042,2,12,1,17.049729264432962,12,horizontal
yellowish_green,042,3,15,0,23.995996045220387,12,vertical
yellowish_green,042,4,42,0,-20.860786129683518,10,both
yellowish_green,042,5,44,1,27.9215736626291,6,vertical
yellowish_green,042,6,2,0,-12.206203101554749,3,both
yellowish_green,042,7,50,0,-22.500997000898487,10,horizontal
yellowish_green,042,8,15,1,-9.125883877414452,9,horizontal
yellowish_green,042,9,7,1,11.523277876788981,20,vertical
yellowish_green,042,10,43,0,24.276029550607326,0,horizontal
yellowish_green,042,11,33,0,22.541498030800653,3,vertical
yellowish_green,042,12,7,1,17.238199342226572,13,both
yellowish_green,042,13,4,1,-18.742557147089965,9,vertical
yellowish_green,042,14,31,1,-5.874489219182944,14,vertical
yellowish_green,042,15,14,0,26.098436743887405,11,both
yellowish_green,042,16,20,1,1.1029994645216838,9,vertical
yellowish_green,042,17,0,0,11.139524711149093,15,both
yellowish_green,042,18,21,0,-8.325768051946412,16,both
yellowish_green,042,19,42,0,-3.920626988169719,20,horizontal
yellowish_green,042,20,35,0,12.753349298221856,4,horizontal
yellowish_green,042,21,49,0,-10.135497500625746,5,vertical
green,001,0,29,1,4.0709257233674165,15,vertical
green,001,1,1,0,-0.8294972280121868,1,vertical
green,001,2,38,0,20.3508733313696,10,both
green,001,3,27,0,20.52524801132585,12,both
green,001,4,11,1,21.001288980507198,15,both
green,001,5,21,1,-23.648933253233405,12,horizontal
green,001,6,2,0,-9.69228476559369,2,vertical
green,001,7,45,0,19.128721861235626,6,vertical
green,001,8,47,0,-4.528998110787061,19,vertical
green,001,9,9,0,22.222170297794356,20,both
green,002,0,23,1,-21.96598497736474,9,horizontal
green,002,1,0,1,6.894300752933901,13,both
green,002,2,23,1,29.32957801024463,17,vertical
green,002,3,13,1,2.261884314534086,16,vertical
green,002,4,41,0,28.08080451637339,6,vertical
green,002,5,34,0,13.774563170145143,5,horizontal
green,002,6,47,1,-18.49590935172771,11,horizontal
green,002,7,42,0,-0.28756122819175545,1,horizontal
green,002,8,28,1,-0.8340973281182045,4,horizontal
green,002,9,34,0,-5.0506694648687365,14,both
green,003,0,6,0,28.932799641561324,6,both
green,003,1,20,1,-2.9361986102068833,5,vertical
green,003,2,6,1,-22.494622083025412,8,both
green,003,3,32,0,-0.8820857478060979,20,vertical
green,003,4,34,1,25.627164939986734,13,horizontal
green,003,5,30,0,-9.826870127361772,4,vertical
green,003,6,44,0,20.324494666817387,15,horizontal
green,003,7,33,0,27.954645142046395,13,both
green,003,8,28,0,25.31410101479375,5,both
green,003,9,21,0,20.65861152858892,7,vertical
green,005,0,23,1,15.460348666840304,13,vertical
green,005,1,27,1,17.85636221799721,11,both
green,005,2,29,0,-16.21489959861053,15,horizontal
green,005,3,50,1,18.27668495571067,10,both
green,005,4,4,1,-2.367248124938701,8,horizontal
green,005,5,42,1,-9.055931836422907,17,vertical
green,005,6,23,0,-1.7760932690673208,4,both
