type,original-index,augmentation-index,gaussian_noise,blur,rotation_angle,zoom,flip_image
Overripe,010,1,2,1,-27.977238603803983,18,both
Overripe,010,2,27,0,22.113030293208908,15,both
Overripe,010,3,24,1,29.986908505177723,13,vertical
Overripe,010,4,3,1,21.982677169190183,2,both
Overripe,010,5,47,1,18.119601226623296,17,both
Overripe,010,6,22,0,-0.6221195310108278,11,vertical
Overripe,010,7,27,1,-24.963691036560515,12,both
Overripe,010,8,2,0,5.511942036054592,17,horizontal
Overripe,010,9,17,0,-6.952299426623863,11,both
Overripe,011,0,32,0,5.559190633521055,7,horizontal
Overripe,011,1,27,0,-24.372826534078186,6,vertical
Overripe,011,2,28,1,-17.814937971428066,14,vertical
Overripe,011,3,30,0,5.574657972718072,3,both
Overripe,011,4,36,0,2.213924080895957,14,both
Overripe,011,5,15,0,1.137398020787085,17,vertical
Overripe,011,6,19,0,21.95409023830282,15,horizontal
Overripe,011,7,47,0,10.169350690406183,8,both
Overripe,011,8,19,0,19.549648274784474,12,vertical
Overripe,011,9,23,1,-6.882332538137515,13,vertical
Overripe,012,0,31,1,27.512727032514697,3,both
Overripe,012,1,38,0,29.035924509623392,15,both
Overripe,012,2,50,0,-5.954566289322123,3,both
Overripe,012,3,25,1,-13.513034994424043,2,vertical
Overripe,012,4,47,0,-1.1089123846955147,3,horizontal
Overripe,012,5,9,1,23.14069688504621,12,vertical
Overripe,012,6,42,0,14.670844319714249,8,vertical
Overripe,012,7,44,1,-17.203952384181648,2,horizontal
Overripe,012,8,34,1,1.8250694904414857,1,horizontal
Overripe,012,9,4,1,15.055486768009771,17,both
Overripe,013,0,26,1,-3.3253846591778284,10,horizontal
Overripe,013,1,19,0,23.77123611236393,16,both
Overripe,013,2,36,1,1.071005007509676,19,horizontal
Overripe,013,3,32,0,-14.576185219504566,15,both
Overripe,013,4,9,0,1.4111328904789993,12,both
Overripe,013,5,10,0,6.183865390705527,7,both
Overripe,013,6,34,1,-14.282016148391904,5,horizontal
Overripe,013,7,32,1,23.773771593768963,17,both
Overripe,013,8,50,1,-25.415758342503413,7,horizontal
Overripe,013,9,5,0,1.0014966468576567,16,both
Overripe,014,0,23,0,-24.869759082706878,13,vertical
Overripe,014,1,5,0,19.79570591411435,14,both
Overripe,014,2,35,0,-8.768175151800104,12,both
Overripe,014,3,50,1,-1.1161334585254892,1,vertical
Overripe,014,4,25,0,4.24624007203694,9,vertical
Overripe,014,5,7,1,-7.4042705699233835,12,horizontal
Overripe,014,6,28,1,-25.528481692510645,7,both
Overripe,014,7,40,0,-4.188680345938284,11,both
Overripe,014,8,43,0,2.9406576186674442,12,horizontal
Overripe,014,9,38,0,-14.102976559775463,8,horizontal
Overripe,015,0,9,0,-9.73458175062175,2,vertical
Overripe,015,1,36,0,18.80169949879771,2,horizontal
Overripe,015,2,1,0,26.983792991520005,5,vertical
Overripe,015,3,35,1,3.5709445365703516,16,vertical
Overripe,015,4,1,0,8.673140382665075,12,both
Overripe,015,5,27,1,-1.7247338207942846,13,both
Overripe,015,6,34,0,16.050444363731536,7,both
Overripe,015,7,41,0,-11.007884777751396,16,vertical
Overripe,015,8,39,0,23.619368871672428,15,horizontal
Overripe,015,9,34,0,-5.6215820194243165,10,vertical
Overripe,016,0,1,0,-3.87435568521472,9,both
Overripe,016,1,29,0,-1.4503858866030441,3,horizontal
Overripe,016,2,7,1,-26.45900286765719,10,vertical
Overripe,016,3,43,0,17.067501260768204,10,both
Overripe,016,4,26,1,-20.6446254469083,2,both
Overripe,016,5,46,1,-24.67815481803482,11,vertical
Overripe,016,6,47,1,0.5662202451242706,12,both
Overripe,016,7,33,1,20.725086808784674,6,both
Overripe,016,8,4,0,19.397456830555285,19,both
Overripe,016,9,44,1,-20.814903528672588,18,vertical
Overripe,017,0,38,1,5.872885559807344,16,horizontal
Overripe,017,1,12,1,19.91947987605093,19,horizontal
Overripe,017,2,39,0,-19.05528533837792,2,horizontal
Overripe,017,3,8,0,24.726017926291696,10,horizontal
Overripe,017,4,23,1,11.780660270634293,19,horizontal
Overripe,017,5,45,0,-17.36251378153425,20,both
Overripe,017,6,14,0,4.645087559111786,8,vertical
Overripe,017,7,12,1,0.17218586930399482,14,horizontal
Overripe,017,8,35,1,15.600033145843632,2,both
Overripe,017,9,1,1,20.449816498514096,2,both
Overripe,018,0,47,1,-13.76110932454634,8,horizontal
Overripe,018,1,2,1,8.518324734797353,7,vertical
Overripe,018,2,4,1,14.075540547417646,19,horizontal
Overripe,018,3,19,1,17.94328189956044,17,horizontal
Overripe,018,4,44,0,24.89140518876171,16,both
Overripe,018,5,37,0,22.89929470055059,16,vertical
Overripe,018,6,28,0,-19.136698945811098,5,both
Overripe,018,7,1,1,-22.70983392261106,0,horizontal
Overripe,018,8,13,0,-5.349261641981457,7,both
Overripe,018,9,40,0,21.350262999784434,16,horizontal
Overripe,019,0,39,1,-12.961968922704369,14,horizontal
Overripe,019,1,25,1,12.474337798133497,7,both
Overripe,019,2,31,0,-17.96131174787945,10,vertical
Overripe,019,3,11,0,23.2192564290183,13,horizontal
Overripe,019,4,41,1,22.691722022033325,19,both
Overripe,019,5,22,0,-0.312677642023921,14,both
Overripe,019,6,36,0,20.01288801335908,16,vertical
Overripe,019,7,3,1,-9.233970083318397,18,horizontal
Overripe,019,8,19,1,-19.002070976460196,15,vertical
Overripe,019,9,3,0,-9.672570473941619,11,horizontal
Overripe,020,0,4,0,-17.748974877821293,19,vertical
Overripe,020,1,40,1,17.693282980659802,9,horizontal
Overripe,020,2,38,1,1.1872129343853004,10,both
Overripe,020,3,31,0,-12.626885942413221,5,vertical
Overripe,020,4,44,0,19.821345537546883,7,both
Overripe,020,5,22,1,-5.630777761534141,0,horizontal
Overripe,020,6,24,1,-27.17508515943397,20,vertical
Overripe,020,7,26,1,-8.23742144237745,14,both
Overripe,020,8,32,0,0.78260153530195,3,horizontal
Overripe,020,9,27,1,-20.64963500134463,4,vertical
Overripe,021,0,15,0,-24.594025338505542,7,vertical
Overripe,021,1,48,1,11.31347717428585,18,horizontal
Overripe,021,2,23,1,15.364620895941322,17,both
Overripe,021,3,39,0,-5.376483586976192,7,vertical
Overripe,021,4,34,0,-2.6663250983064017,3,both
Overripe,021,5,30,1,4.409207195916387,19,vertical
Overripe,021,6,20,1,14.152046620114554,5,horizontal
Overripe,021,7,6,1,-23.493277696303956,2,vertical
Overripe,021,8,44,0,14.732927930490938,18,vertical
Overripe,021,9,44,0,-28.58502441993807,6,both
Overripe,022,0,0,1,-25.27960654289565,13,both
Overripe,022,1,2,0,-18.618295087949683,8,both
Overripe,022,2,9,0,-29.724130103353296,17,vertical
Overripe,022,3,23,0,7.903160541242173,6,horizontal
Overripe,022,4,6,1,10.718666312627533,11,vertical
Overripe,022,5,17,0,-7.426072286930751,9,vertical
Overripe,022,6,14,0,-7.5978434991830035,4,vertical
Overripe,022,7,9,1,-9.336920148190828,4,horizontal
Overripe,022,8,40,1,17.700532678326155,7,vertical
Overripe,022,9,6,0,6.936909307219366,20,vertical
Overripe,023,0,8,0,-15.34502642511571,5,both
Overripe,023,1,46,0,-26.52156342721101,9,vertical
Overripe,023,2,44,0,-17.345878317356934,12,both
Overripe,023,3,21,1,-24.618508313410885,14,horizontal
Overripe,023,4,18,0,-4.004227795931822,20,both
Overripe,023,5,10,1,-4.956180357496006,4,both
Overripe,023,6,0,1,8.71278437438238,9,both
Overripe,023,7,21,1,-5.507129692482181,2,both
Overripe,023,8,38,1,-17.716565307510816,2,vertical
Overripe,023,9,28,1,2.4844534871652755,11,vertical
Overripe,024,0,24,1,-11.2040261956531,2,vertical
Overripe,024,1,32,0,-1.9027779775244582,20,vertical
Overripe,024,2,41,0,20.165024445398373,0,vertical
Overripe,024,3,23,0,19.547389246717174,12,vertical
Overripe,024,4,6,0,11.917374618322974,3,both
Overripe,024,5,45,1,16.60083248401876,15,both
Overripe,024,6,0,0,-27.85407109974163,8,vertical
Overripe,024,7,25,1,23.462978398365692,0,both
Overripe,024,8,15,1,24.079736153577443,9,vertical
Overripe,024,9,9,0,-29.339163953189132,7,horizontal
Overripe,025,0,28,1,19.50308184579722,10,both
Overripe,025,1,41,1,-17.138356842091053,10,both
Overripe,025,2,40,0,21.428894842888276,20,both
Overripe,025,3,33,0,-5.997065924830707,8,both
Overripe,025,4,49,0,-19.57430823098871,12,horizontal
Overripe,025,5,1,1,-0.7604917482046929,1,both
Overripe,025,6,4,1,-21.697381678929982,8,horizontal
Overripe,025,7,0,1,-29.36429921822586,0,vertical
Overripe,025,8,32,0,1.3985831053676172,6,vertical
Overripe,025,9,11,1,-11.571060142517283,7,vertical
Overripe,026,0,22,0,-22.9938538081145,16,both
Overripe,026,1,49,1,-8.712538971138212,0,both
Overripe,026,2,41,0,-11.597591869402585,20,vertical
Overripe,026,3,8,0,25.328715855507305,10,both
Overripe,026,4,46,1,-1.4197228892131335,20,horizontal
Overripe,026,5,24,0,6.476630260821331,8,vertical
Overripe,026,6,14,0,16.93363895212167,5,vertical
Overripe,026,7,29,0,-26.609503987178897,12,horizontal
Overripe,026,8,16,0,20.00861908080421,3,vertical
Overripe,026,9,8,0,-19.734684592833847,12,horizontal
Overripe,027,0,11,1,26.835719903650585,16,vertical
Overripe,027,1,6,0,3.553552634478848,6,both
Overripe,027,2,34,0,22.653079745540076,17,both
Overripe,027,3,33,1,-5.787177617049171,12,both
Overripe,027,4,39,0,9.35355132976948,5,horizontal
Overripe,027,5,0,1,5.39772426717083,20,horizontal
Overripe,027,6,31,0,28.97411749471879,0,horizontal
Overripe,027,7,16,1,-2.09681611719121,20,both
Overripe,027,8,2,0,12.15681825086402,9,vertical
Overripe,027,9,4,1,6.6954883780841215,13,horizontal
Overripe,028,0,36,1,9.810507068426993,1,vertical
Overripe,028,1,19,0,-16.731713473298072,17,vertical
Overripe,028,2,5,1,-26.989353718913012,14,both
Overripe,028,3,7,1,7.756203612886679,8,both
Overripe,028,4,2,0,26.092405084384495,11,horizontal
Overripe,028,5,20,0,-29.206520494180758,0,both
Overripe,028,6,23,0,26.784539776080187,6,both
Overripe,028,7,8,0,-27.39114999542939,3,horizontal
Overripe,028,8,21,1,-24.762699222028502,5,horizontal
Overripe,028,9,32,0,0.8460011395545841,18,both
Overripe,029,0,30,0,-15.499005340529417,15,horizontal
Overripe,029,1,31,0,6.566591715416713,10,vertical
Overripe,029,2,46,0,-20.82472133262878,5,horizontal
Overripe,029,3,30,0,5.993334033076096,7,vertical
Overripe,029,4,49,1,-10.930930096940962,13,vertical
Overripe,029,5,2,1,-22.93957285214436,17,horizontal
Overripe,029,6,36,0,-13.134317759857552,7,both
Overripe,029,7,20,0,-29.583916369549506,13,both
Overripe,029,8,26,0,-16.70087102129996,0,both
Overripe,029,9,49,1,17.05039055167593,15,both
Overripe,030,0,35,0,-2.095026778664849,19,both
Overripe,030,1,27,0,-12.631685270165327,19,vertical
Overripe,030,2,11,1,-23.659520338160846,16,horizontal
Overripe,030,3,22,1,-0.5814795832321096,18,horizontal
Overripe,030,4,11,0,18.999060342784475,6,both
Overripe,030,5,45,1,19.66700875555272,5,both
Overripe,030,6,41,1,-20.112281645081133,8,vertical
Overripe,030,7,47,1,1.262377580323161,6,both
Overripe,030,8,22,1,18.012186063600694,10,both
Overripe,030,9,25,0,16.14719516986146,5,both
Overripe,031,0,8,1,-6.35647348389837,17,horizontal
Overripe,031,1,8,1,-19.866939527216882,19,horizontal
Overripe,031,2,44,1,19.1514962002786,4,both
Overripe,031,3,13,1,15.729063134264855,20,horizontal
Overripe,031,4,12,1,14.039659308525763,4,horizontal
Overripe,031,5,30,1,-16.938222250733943,15,vertical
Overripe,031,6,32,0,20.484929776309528,19,both
Overripe,031,7,18,1,4.881625348180414,19,horizontal
Overripe,031,8,32,0,10.784548007417719,13,both
Overripe,031,9,39,0,-25.10315709471766,3,both
Overripe,032,0,19,0,-29.816931745902266,2,both
Overripe,032,1,45,0,-2.208547921571938,3,horizontal
Overripe,032,2,22,1,-4.1905911683398,13,horizontal
Overripe,032,3,29,0,-25.560305559902403,4,both
Overripe,032,4,49,0,5.406115658248993,8,both
Overripe,032,5,24,0,12.130184489487306,2,both
Overripe,032,6,19,1,5.722281311962838,4,both
Overripe,032,7,4,1,-9.856182390962907,16,horizontal
Overripe,032,8,46,1,12.023692961790559,11,both
Overripe,032,9,25,0,-13.125957538394502,17,both
Overripe,033,0,3,1,-11.239286345170434,9,horizontal
Overripe,033,1,18,1,-15.249920801297582,11,vertical
Overripe,033,2,33,0,-22.69635978438056,3,both
Overripe,033,3,9,0,16.893231591150887,9,both
Overripe,033,4,36,1,26.344801440481397,19,both
Overripe,033,5,9,0,20.21780246851197,13,vertical
Overripe,033,6,9,0,20.295612614081676,17,horizontal
Overripe,033,7,21,0,0.4528357952048694,3,horizontal
Overripe,033,8,22,1,7.731337043791754,7,vertical
Overripe,033,9,50,1,-10.966859130194717,2,vertical
Ripe,001,0,10,1,11.662504127887672,10,horizontal
Ripe,001,1,7,0,24.655412250874853,6,horizontal
Ripe,001,2,15,1,15.912413308122055,5,horizontal
Ripe,001,3,30,0,-26.29209395926948,0,horizontal
Ripe,001,4,3,0,-20.837720353575214,10,both
Ripe,001,5,39,1,-27.094439330756003,20,horizontal
Ripe,001,6,41,1,2.360616574027304,8,vertical
Ripe,001,7,29,1,5.141486319708655,9,both
Ripe,001,8,14,1,3.588676805395707,12,both
Ripe,001,9,40,0,22.395254044939115,5,both
Ripe,002,0,30,0,-2.9363163572907354,8,vertical
Ripe,002,1,34,1,10.618409472853138,17,horizontal
Ripe,002,2,43,1,-9.661127448994947,20,vertical
Ripe,002,3,44,1,-9.149533705046547,20,vertical
Ripe,002,4,40,0,29.083657237713197,1,both
Ripe,002,5,47,0,8.26100221998707,14,vertical
Ripe,002,6,19,1,19.45555667652343,19,vertical
Ripe,002,7,11,1,-26.716978869290873,17,both
Ripe,002,8,6,0,-14.60759774206032,12,horizontal
Ripe,002,9,44,1,-10.949701026530064,0,both
Ripe,003,0,8,0,-16.76225906306777,17,both
Ripe,003,1,31,1,-7.470874966335913,18,both
Ripe,003,2,27,0,-14.44526690272429,4,both
Ripe,003,3,17,0,-24.938800847069373,4,both
Ripe,003,4,18,0,-20.78839262233669,18,vertical
Ripe,003,5,40,1,20.372115392068842,3,both
Ripe,003,6,22,1,-12.277322785409183,6,vertical
Ripe,003,7,3,1,-15.220932673137565,0,vertical
Ripe,003,8,44,0,7.6063916709950234,6,both
Ripe,003,9,28,0,13.897249356098229,12,horizontal
Ripe,004,0,5,1,26.837411750747236,2,horizontal
Ripe,004,1,12,1,-24.405986483351604,14,vertical
Ripe,004,2,4,1,-17.126585231485098,20,vertical
Ripe,004,3,20,0,-20.6021903350138,8,horizontal
Ripe,004,4,19,0,16.70800560838014,5,vertical
Ripe,004,5,9,0,-14.993461832312354,7,vertical
Ripe,004,6,8,0,9.605781042701096,7,horizontal
Ripe,004,7,26,1,-15.516739009975778,8,vertical
Ripe,004,8,22,0,-9.561956951911693,8,both
Ripe,004,9,43,1,19.75061708123426,5,vertical
Ripe,005,0,36,1,-28.872793999910865,20,vertical
Ripe,005,1,37,0,24.90062848053946,17,horizontal
Ripe,005,2,26,1,-17.77385109134645,6,vertical
Ripe,005,3,20,1,13.687471841143697,8,both
Ripe,005,4,6,1,-8.501512383797433,6,horizontal
Ripe,005,5,1,0,-6.007217651917621,2,vertical
Ripe,005,6,41,1,-27.98925661689603,9,horizontal
Ripe,005,7,29,1,26.771107205302222,20,vertical
Ripe,005,8,5,0,28.494450672801307,3,both
Ripe,005,9,46,1,6.751367878018158,0,vertical
Ripe,006,0,1,1,6.547209720452216,10,both
Ripe,006,1,35,0,0.08499307761887565,10,horizontal
Ripe,006,2,35,0,-16.95883293186131,3,horizontal
Ripe,006,3,27,0,17.85472053900559,5,both
Ripe,006,4,7,1,19.89478933942916,19,both
Ripe,006,5,9,0,-29.57386396363957,16,horizontal
Ripe,006,6,49,1,-11.852641416192707,1,horizontal
Ripe,006,7,27,1,14.977008381499594,3,vertical
Ripe,006,8,8,1,-9.188591242066128,14,both
Ripe,006,9,46,1,-16.39509818875443,0,vertical
Ripe,007,0,44,0,-14.191758387134009,19,vertical
Ripe,007,1,15,0,-12.809092786720054,10,vertical
Ripe,007,2,5,1,29.369617868229987,7,vertical
Ripe,007,3,43,1,-7.116079857397459,11,both
Ripe,007,4,26,0,23.777527536624646,0,both
Ripe,007,5,46,0,18.16040726598048,0,horizontal
Ripe,007,6,35,0,-4.678842983321985,1,horizontal
Ripe,007,7,41,1,18.879377013675857,4,horizontal
Ripe,007,8,8,1,17.516228023175323,20,vertical
Ripe,007,9,11,0,22.772539570055855,20,vertical
Ripe,008,0,26,1,-11.906349056315172,19,both
Ripe,008,1,15,0,-22.766750446949338,3,horizontal
Ripe,008,2,25,1,-25.114076874813467,7,horizontal
Ripe,008,3,32,0,22.37214744740973,7,both
Ripe,008,4,32,0,-11.945394505422765,9,both
Ripe,008,5,48,0,13.037183955079037,7,both
Ripe,008,6,43,1,29.979669353652646,13,both
Ripe,008,7,26,1,23.2975584268123,16,horizontal
Ripe,008,8,2,1,14.232666150831037,4,vertical
Ripe,008,9,27,0,2.497484849419159,11,vertical
Ripe,009,0,9,0,1.618255541326775,11,vertical
Ripe,009,1,44,1,-25.839608593076328,9,both
Ripe,009,2,8,0,19.32904338873867,17,both
Ripe,009,3,25,0,-7.6653711258325,7,vertical
Ripe,009,4,50,0,13.71421238093798,18,both
Ripe,009,5,10,1,8.3591265620868,4,vertical
Ripe,009,6,28,0,19.27538455160198,2,vertical
Ripe,009,7,25,0,25.750446512256104,14,horizontal
Ripe,009,8,30,1,-13.560753672264436,15,horizontal
Ripe,009,9,45,1,18.268655996167986,20,horizontal
Ripe,010,0,41,1,7.425961758400163,4,both
Ripe,010,1,3,0,20.912175878192585,8,vertical
Ripe,010,2,2,0,2.6987859454256125,13,vertical
Ripe,010,3,12,0,25.043696431759464,7,both
Ripe,010,4,14,0,1.7113287204216334,11,both
Ripe,010,5,30,0,10.714148090887662,18,horizontal
Ripe,010,6,11,0,17.247113657532218,4,both
Ripe,010,7,23,0,18.783520999408218,0,vertical
Ripe,010,8,2,0,3.8871289225845587,0,horizontal
Ripe,010,9,39,1,-15.132173823878883,15,horizontal
Ripe,011,0,9,1,-17.24934163320895,1,horizontal
Ripe,011,1,2,0,23.825605535207778,3,horizontal
Ripe,011,2,46,0,6.57742852847386,1,horizontal
Ripe,011,3,30,1,-21.490672560639826,7,both
Ripe,011,4,34,0,-17.406951735268997,20,horizontal
Ripe,011,5,7,0,-5.204515244101138,13,horizontal
Ripe,011,6,5,1,-24.81519014954329,17,vertical
Ripe,011,7,20,1,9.321531289084547,10,vertical
Ripe,011,8,9,0,20.430133879324416,14,vertical
Ripe,011,9,12,1,-8.301957824283164,17,vertical
Ripe,012,0,8,1,8.140044054636355,18,horizontal
Ripe,012,1,10,1,24.469649534375407,20,vertical
Ripe,012,2,44,1,-15.883106504724676,1,horizontal
Ripe,012,3,50,1,-7.306708056890226,20,both
Ripe,012,4,29,0,-14.138062169452187,3,both
Ripe,012,5,22,1,-12.728412190681563,20,vertical
Ripe,012,6,34,1,-2.916969339280037,13,vertical
Ripe,012,7,46,1,16.040457300008455,4,horizontal
Ripe,012,8,38,1,25.56725982245967,12,both
Ripe,012,9,50,0,12.753410976432285,5,vertical
Ripe,013,0,26,0,0.8479960719160218,10,vertical
Ripe,013,1,29,1,10.292252132008514,0,horizontal
Ripe,013,2,36,0,16.760430325923735,20,both
Ripe,013,3,40,1,-15.88879544713449,2,both
Ripe,013,4,10,1,13.549124081084344,11,horizontal
Ripe,013,5,34,1,-3.9022579545043143,17,horizontal
Ripe,013,6,50,1,23.98483240030921,7,horizontal
Ripe,013,7,22,0,-8.319192020106144,4,both
Ripe,013,8,33,0,8.065503207480873,5,horizontal
Ripe,013,9,50,0,15.203220478617446,6,both
Ripe,014,0,8,1,-28.10372737919546,8,horizontal
Ripe,014,1,41,0,2.026105165201052,12,both
Ripe,014,2,20,0,27.706271665451013,17,both
Ripe,014,3,24,1,-18.114794904971316,4,vertical
Ripe,014,4,4,1,17.84406742181629,4,both
Ripe,014,5,2,0,-28.737428266321306,15,vertical
Ripe,014,6,17,1,3.4496982849079743,20,both
Ripe,014,7,28,1,-25.438580883301782,6,vertical
Ripe,014,8,39,1,25.416793815353508,6,both
Ripe,014,9,29,0,-11.679514903597958,7,horizontal
Ripe,015,0,12,1,17.049729264432962,12,horizontal
Ripe,015,1,15,0,23.995996045220387,12,vertical
Ripe,015,2,42,0,-20.860786129683518,10,both
Ripe,015,3,44,1,27.9215736626291,6,vertical
Ripe,015,4,2,0,-12.206203101554749,3,both
Ripe,015,5,50,0,-22.500997000898487,10,horizontal
Ripe,015,6,15,1,-9.125883877414452,9,horizontal
Ripe,015,7,7,1,11.523277876788981,20,vertical
Ripe,015,8,43,0,24.276029550607326,0,horizontal
Ripe,015,9,33,0,22.541498030800653,3,vertical
Ripe,016,0,7,1,17.238199342226572,13,both
Ripe,016,1,4,1,-18.742557147089965,9,vertical
Ripe,016,2,31,1,-5.874489219182944,14,vertical
Ripe,016,3,14,0,26.098436743887405,11,both
Ripe,016,4,20,1,1.1029994645216838,9,vertical
Ripe,016,5,0,0,11.139524711149093,15,both
Ripe,016,6,21,0,-8.325768051946412,16,both
Ripe,016,7,42,0,-3.920626988169719,20,horizontal
Ripe,016,8,35,0,12.753349298221856,4,horizontal
Ripe,016,9,49,0,-10.135497500625746,5,vertical
Ripe,017,0,29,1,4.0709257233674165,15,vertical
Ripe,017,1,1,0,-0.8294972280121868,1,vertical
Ripe,017,2,38,0,20.3508733313696,10,both
Ripe,017,3,27,0,20.52524801132585,12,both
Ripe,017,4,11,1,21.001288980507198,15,both
Ripe,017,5,21,1,-23.648933253233405,12,horizontal
Ripe,017,6,2,0,-9.69228476559369,2,vertical
Ripe,017,7,45,0,19.128721861235626,6,vertical
Ripe,017,8,47,0,-4.528998110787061,19,vertical
Ripe,017,9,9,0,22.222170297794356,20,both
Ripe,018,0,23,1,-21.96598497736474,9,horizontal
Ripe,018,1,0,1,6.894300752933901,13,both
Ripe,018,2,23,1,29.32957801024463,17,vertical
Ripe,018,3,13,1,2.261884314534086,16,vertical
Ripe,018,4,41,0,28.08080451637339,6,vertical
Ripe,018,5,34,0,13.774563170145143,5,horizontal
Ripe,018,6,47,1,-18.49590935172771,11,horizontal
Ripe,018,7,42,0,-0.28756122819175545,1,horizontal
Ripe,018,8,28,1,-0.8340973281182045,4,horizontal
Ripe,018,9,34,0,-5.0506694648687365,14,both
Ripe,019,0,6,0,28.932799641561324,6,both
